,Subj_id,estimates,timeToEstimate,RT,accuracy,search_type
2874,119,1.5788617886178864,4.651495000000141,1.0885930000004882,1.0,7
2875,119,1.5788617886178864,4.651495000000141,0.8281899999999441,1.0,7
2876,119,1.5788617886178864,4.651495000000141,0.8124790000001958,1.0,7
2877,119,1.3934959349593496,1.9592120000004651,0.9068999999999651,1.0,8
2878,119,1.3934959349593496,1.9592120000004651,0.7376190000003553,1.0,8
2879,119,1.3934959349593496,1.9592120000004651,0.948083999999828,1.0,8
2880,120,0.6115326251896813,4.223165999962628,0.4873019999896933,1.0,1
2881,120,0.6115326251896813,4.223165999962628,0.5435559999554244,1.0,1
2882,120,0.6115326251896813,4.223165999962628,0.49150599997377137,1.0,1
2883,120,0.5326251896813354,7.777593999962235,0.5275789999567787,1.0,2
2884,120,0.5326251896813354,7.777593999962235,0.42360000000329456,1.0,2
2885,120,0.5326251896813354,7.777593999962235,0.4778680000023451,1.0,2
2886,120,0.520485584218513,4.788958999959985,0.3934509999791044,1.0,3
2887,120,0.520485584218513,4.788958999959985,0.31312099996214965,0.0,3
2888,120,0.520485584218513,4.788958999959985,0.47826999998901737,1.0,3
2889,120,0.8543247344461304,5.311083999996627,0.5413720000126341,1.0,4
2890,120,0.8543247344461304,5.311083999996627,0.4820109999723209,1.0,4
2891,120,0.8543247344461304,5.311083999996627,0.49635099998454096,1.0,4
2892,120,0.5781487101669196,3.689329999995447,0.3601919999645615,1.0,5
2893,120,0.5781487101669196,3.689329999995447,0.44438799998917966,1.0,5
2894,120,0.5781487101669196,3.689329999995447,0.30369199999692503,1.0,5
2895,120,0.6206373292867982,5.206234999964275,0.43893199998879573,1.0,6
2896,120,0.6206373292867982,5.206234999964275,0.3142669999705104,1.0,6
2897,120,0.6206373292867982,5.206234999964275,0.4701389999630337,1.0,6
2898,120,0.5295902883156298,4.223816999955714,0.4932879999735451,1.0,7
2899,120,0.5295902883156298,4.223816999955714,0.4341590000112483,1.0,7
2900,120,0.5295902883156298,4.223816999955714,0.47498699998378285,1.0,7
2901,120,0.7663125948406677,4.840852999979601,0.487534000001353,1.0,8
2902,120,0.7663125948406677,4.840852999979601,0.5090119999909366,1.0,8
2903,120,0.7663125948406677,4.840852999979601,0.4980310000128229,1.0,8
2904,121,0.9206921413121845,2.8534179999948828,0.9994669999962789,1.0,1
2905,121,0.9206921413121845,2.8534179999948828,0.5978699999993842,1.0,1
2906,121,0.9206921413121845,2.8534179999948828,0.4073840000006021,1.0,1
2907,121,1.0331651045421775,3.1691249999991267,0.34740899999899555,1.0,2
2908,121,1.0331651045421775,3.1691249999991267,0.37031599999492754,1.0,2
2909,121,1.0331651045421775,3.1691249999991267,0.5320299999993876,1.0,2
2910,121,0.7130497476568132,3.453400000000227,0.7677369999960065,1.0,3
2911,121,0.7130497476568132,3.453400000000227,0.6285650000001478,1.0,3
2912,121,0.7130497476568132,3.453400000000227,0.5537219999964873,1.0,3
2913,121,0.9235760634462868,6.2854989999987305,0.5611169999977282,1.0,4
2914,121,0.9235760634462868,6.2854989999987305,0.466994999997667,1.0,4
2915,121,0.9235760634462868,6.2854989999987305,0.481748999999254,1.0,4
2916,121,0.9379956741167986,5.668731000000058,0.5342779999996419,1.0,5
2917,121,0.9379956741167986,5.668731000000058,0.5881399999999558,1.0,5
2918,121,0.9379956741167986,5.668731000000058,0.6828859999994166,1.0,5
2919,121,0.9726027397260273,4.702514999994077,1.0191459999937216,1.0,6
2920,121,0.9726027397260273,4.702514999994077,0.559786999999953,1.0,6
2921,121,0.9726027397260273,4.702514999994077,0.4953599999951548,1.0,6
2922,121,0.8024513338139869,4.535457999994658,0.6020999999960768,1.0,7
2923,121,0.8024513338139869,4.535457999994658,0.45999499999772525,1.0,7
2924,121,0.8024513338139869,4.535457999994658,0.4532489999954123,1.0,7
2925,121,0.9466474405191059,2.8362039999989794,0.5557439999955531,1.0,8
2926,121,0.9466474405191059,2.8362039999989794,0.4220439999969967,1.0,8
2927,121,0.9466474405191059,2.8362039999989794,0.5073909999943862,1.0,8
2928,122,1.0028776978417264,1.3552600000000092,0.42172000000000115,1.0,1
2929,122,1.0028776978417264,1.3552600000000092,0.3286600000000035,1.0,1
2930,122,1.0028776978417264,1.3552600000000092,0.4335799999999872,1.0,1
2931,122,1.0028776978417264,5.039299999999988,0.6430199999999895,1.0,2
2932,122,1.0028776978417264,5.039299999999988,1.008820000000007,1.0,2
2933,122,1.0028776978417264,5.039299999999988,0.747640000000014,1.0,2
2934,122,1.4,4.5290200000000045,0.40273999999999066,1.0,3
2935,122,1.4,4.5290200000000045,0.5731199999999953,1.0,3
2936,122,1.4,4.5290200000000045,0.7056000000000058,1.0,3
2937,122,1.2820143884892086,6.52786,0.5357399999999907,1.0,4
2938,122,1.2820143884892086,6.52786,0.48788000000000464,1.0,4
2939,122,1.2820143884892086,6.52786,0.5040199999999895,1.0,4
2940,122,1.0028776978417264,1.8049200000000127,0.48105999999999766,1.0,5
2941,122,1.0028776978417264,1.8049200000000127,0.462820000000007,1.0,5
2942,122,1.0028776978417264,1.8049200000000127,0.4850799999999872,1.0,5
2943,122,1.0028776978417264,1.9555,0.46723999999999066,1.0,6
2944,122,1.0028776978417264,1.9555,0.5456199999999953,1.0,6
2945,122,1.0028776978417264,1.9555,0.6297399999999906,1.0,6
2946,122,1.014388489208633,5.306420000000013,0.4145400000000081,1.0,7
2947,122,1.014388489208633,5.306420000000013,0.4453999999999942,1.0,7
2948,122,1.014388489208633,5.306420000000013,0.5906400000000139,1.0,7
2949,122,1.0028776978417264,1.9389599999999918,0.563140000000014,1.0,8
2950,122,1.0028776978417264,1.9389599999999918,0.5719400000000023,1.0,8
2951,122,1.0028776978417264,1.9389599999999918,0.5256000000000058,1.0,8
2952,123,0.8029294274300931,5.0774019999715385,0.6738499999464548,1.0,1
2953,123,0.8029294274300931,5.0774019999715385,0.7712139999682549,1.0,1
2954,123,0.8029294274300931,5.0774019999715385,0.5264889999671141,1.0,1
2955,123,1.0026631158455395,4.623307999995915,0.5986569999990752,1.0,2
2956,123,1.0026631158455395,4.623307999995915,1.0806799999750218,1.0,2
2957,123,1.0026631158455395,4.623307999995915,0.733142999955453,1.0,2
2958,123,0.6990679094540613,4.788527999956219,0.6631649999614747,1.0,3
2959,123,0.6990679094540613,4.788527999956219,0.550738999982219,1.0,3
