Subj_id,search_type,repetition,set_size,stim,estimates,timeToEstimate,RT,accuracy
0,1,0,6,CinO,0.9124463519313304,2.7135510000119103,1.309595000008936,1
0,1,1,6,CinO,0.9124463519313304,2.7135510000119103,0.820299000008963,1
0,1,2,6,CinO,0.9124463519313304,2.7135510000119103,1.016287000008917,1
0,1,3,6,CinO,0.9124463519313304,2.7135510000119103,0.9244810000089346,1
0,1,4,6,CinO,0.9124463519313304,2.7135510000119103,1.203085000000021,1
0,2,0,18,CinO,1.0085836909871246,2.745289000008954,0.9012920000029262,1
0,2,1,18,CinO,1.0085836909871246,2.745289000008954,0.9849370000029448,1
0,2,2,18,CinO,1.0085836909871246,2.745289000008954,1.0760990000000457,1
0,2,3,18,CinO,1.0085836909871246,2.745289000008954,1.641702000011923,1
0,2,4,18,CinO,1.0085836909871246,2.745289000008954,1.2588379999999888,1
0,3,0,6,OinC,0.9879828326180258,2.3794380000089297,1.0350680000089343,1
0,3,1,6,OinC,0.9879828326180258,2.3794380000089297,0.9705360000089277,1
0,3,2,6,OinC,0.9879828326180258,2.3794380000089297,2.1583860000089046,1
0,3,3,6,OinC,0.9879828326180258,2.3794380000089297,1.4220740000029328,1
0,3,4,6,OinC,0.9879828326180258,2.3794380000089297,0.8669000000029337,1
0,4,0,18,OinC,0.8575107296137339,1.89811599999998,1.974234000005934,1
0,4,1,18,OinC,0.8575107296137339,1.89811599999998,1.7376800000059884,1
0,4,2,18,OinC,0.8575107296137339,1.89811599999998,3.1178549999999814,1
0,4,3,18,OinC,0.8575107296137339,1.89811599999998,0.9993610000119079,1
0,4,4,18,OinC,0.8575107296137339,1.89811599999998,1.2807370000118972,1
0,5,0,6,QinO,0.648068669527897,2.9797359999999755,1.3041310000059894,1
0,5,1,6,QinO,0.648068669527897,2.9797359999999755,1.4123310000059428,1
0,5,2,6,QinO,0.648068669527897,2.9797359999999755,0.7359830000059446,1
0,5,3,6,QinO,0.648068669527897,2.9797359999999755,0.7867190000059782,1
0,5,4,6,QinO,0.648068669527897,2.9797359999999755,0.8391950000059442,1
0,6,0,18,QinO,1.0085836909871246,4.50911000000895,1.4680660000089556,1
0,6,1,18,QinO,1.0085836909871246,4.50911000000895,1.4381500000000234,1
0,6,2,18,QinO,1.0085836909871246,4.50911000000895,0.9528630000089179,1
0,6,3,18,QinO,1.0085836909871246,4.50911000000895,0.9135830000089481,1
0,6,4,18,QinO,1.0085836909871246,4.50911000000895,0.7870560000089463,1
0,7,0,6,OinQ,0.7339055793991416,2.545346000002988,1.0834520000059855,1
0,7,1,6,OinQ,0.7339055793991416,2.545346000002988,0.8109200000059791,1
0,7,2,6,OinQ,0.7339055793991416,2.545346000002988,1.1768940000119619,1
0,7,3,6,OinQ,0.7339055793991416,2.545346000002988,0.9494320000000298,1
0,7,4,6,OinQ,0.7339055793991416,2.545346000002988,0.7764229999999516,1
0,8,0,18,OinQ,1.0085836909871246,6.436747000008938,1.5495630000059026,1
0,8,1,18,OinQ,1.0085836909871246,6.436747000008938,3.3523730000059584,1
0,8,2,18,OinQ,1.0085836909871246,6.436747000008938,1.9911680000060006,1
0,8,3,18,OinQ,1.0085836909871246,6.436747000008938,1.8826560000060126,1
0,8,4,18,OinQ,1.0085836909871246,6.436747000008938,2.7039320000000298,1
0,9,0,6,findVertical,0.9708154506437767,1.8814000000059605,2.581149000011908,1
0,9,1,6,findVertical,0.9708154506437767,1.8814000000059605,2.3965810000059427,0
0,9,2,6,findVertical,0.9708154506437767,1.8814000000059605,2.314904000005976,1
0,9,3,6,findVertical,0.9708154506437767,1.8814000000059605,1.7154260000059731,1
0,9,4,6,findVertical,0.9708154506437767,1.8814000000059605,1.5354880000059492,1
0,10,0,18,findVertical,0.8712446351931331,1.9798859999999987,1.0166460000089137,1
0,10,1,18,findVertical,0.8712446351931331,1.9798859999999987,1.2894369999999762,1
0,10,2,18,findVertical,0.8712446351931331,1.9798859999999987,1.3269890000089655,1
0,10,3,18,findVertical,0.8712446351931331,1.9798859999999987,1.4764410000089556,1
0,10,4,18,findVertical,0.8712446351931331,1.9798859999999987,2.186425000002957,1
0,11,0,6,findTilted,0.9776824034334763,3.1289780000029714,1.119627000005974,1
0,11,1,6,findTilted,0.9776824034334763,3.1289780000029714,0.9565910000059521,1
0,11,2,6,findTilted,0.9776824034334763,3.1289780000029714,0.9140260000059498,1
0,11,3,6,findTilted,0.9776824034334763,3.1289780000029714,1.8246980000089388,1
0,11,4,6,findTilted,0.9776824034334763,3.1289780000029714,1.0634920000089332,1
0,12,0,18,findTilted,0.9536480686695279,2.5297400000089545,0.8689380000059027,1
0,12,1,18,findTilted,0.9536480686695279,2.5297400000089545,1.169914000005927,1
0,12,2,18,findTilted,0.9536480686695279,2.5297400000089545,0.9372060000000055,1
0,12,3,18,findTilted,0.9536480686695279,2.5297400000089545,1.0245219999999973,1
0,12,4,18,findTilted,0.9536480686695279,2.5297400000089545,0.8136239999999525,1
1,1,0,6,CinO,0.5219512195121951,1.6347599999999511,0.7364929999999876,1
1,1,1,6,CinO,0.5219512195121951,1.6347599999999511,0.6855719999999855,1
1,1,2,6,CinO,0.5219512195121951,1.6347599999999511,0.5702159999998985,1
1,1,3,6,CinO,0.5219512195121951,1.6347599999999511,0.7615890000000364,1
1,1,4,6,CinO,0.5219512195121951,1.6347599999999511,0.5291410000000906,1
1,2,0,18,CinO,0.921951219512195,1.952021000000037,0.7295360000000801,1
1,2,1,18,CinO,0.921951219512195,1.952021000000037,0.7596770000000833,1
