,Subj_id,estimates,timeToEstimate,RT,accuracy,set_size,search_type
2950,81,1.4310160427807488,1.8340690000002213,0.8848320000016247,1.0,30,conjunction
2951,81,1.4310160427807488,1.8340690000002213,0.6978149999996531,0.0,30,conjunction
2952,82,0.5,2.737687999918067,0.4788019999426906,1.0,1,shape
2953,82,0.5,2.737687999918067,0.36717199993872784,1.0,1,shape
2954,82,0.5,2.737687999918067,0.6161879999804077,1.0,1,shape
2955,82,1.1015625,1.80362699991517,0.418436999966565,0.0,5,shape
2956,82,1.1015625,1.80362699991517,0.4770129999401979,1.0,5,shape
2957,82,1.1015625,1.80362699991517,0.5449119999702671,1.0,5,shape
2958,82,1.2890625,6.492197999905388,0.6268409999584547,1.0,15,shape
2959,82,1.2890625,6.492197999905388,0.3002489999170648,1.0,15,shape
2960,82,1.2890625,6.492197999905388,0.43910899996437364,1.0,15,shape
2961,82,1.5546875,3.6578239999030484,0.4851629999934812,1.0,30,shape
2962,82,1.5546875,3.6578239999030484,0.6348979999977163,1.0,30,shape
2963,82,1.5546875,3.6578239999030484,0.7951439999432186,1.0,30,shape
2964,82,0.5234375,2.905165999973542,0.4194939999821363,1.0,1,color
2965,82,0.5234375,2.905165999973542,0.3963869999325834,1.0,1,color
2966,82,0.5234375,2.905165999973542,0.4242089999275631,1.0,1,color
2967,82,0.5859375,4.241346999971371,0.425022999941546,1.0,5,color
2968,82,0.5859375,4.241346999971371,0.40571499999793015,1.0,5,color
2969,82,0.5859375,4.241346999971371,0.45914199995296073,1.0,5,color
2970,82,0.796875,3.162167999976431,0.3416019999090931,1.0,15,color
2971,82,0.796875,3.162167999976431,0.24371299993997672,1.0,15,color
2972,82,0.796875,3.162167999976431,0.3173109999570297,1.0,15,color
2973,82,0.59375,14.79520199999708,0.4949349999951082,1.0,30,color
2974,82,0.59375,14.79520199999708,0.3808649999132613,1.0,30,color
2975,82,0.59375,14.79520199999708,0.5342079999257694,1.0,30,color
2976,82,0.4453125,6.55765899999562,0.3906469999280525,1.0,1,conjunction
2977,82,0.4453125,6.55765899999562,0.2988679999492015,1.0,1,conjunction
2978,82,0.4453125,6.55765899999562,0.34898499999253546,1.0,1,conjunction
2979,82,1.21875,5.673662999893888,0.616994999930379,1.0,5,conjunction
2980,82,1.21875,5.673662999893888,0.5628459998925682,1.0,5,conjunction
2981,82,1.21875,5.673662999893888,0.8733339998867014,1.0,5,conjunction
2982,82,1.421875,2.289023999999161,0.5959149999939837,1.0,15,conjunction
2983,82,1.421875,2.289023999999161,0.6100509999946807,1.0,15,conjunction
2984,82,1.421875,2.289023999999161,0.4073069999217405,1.0,15,conjunction
2985,82,1.421875,9.177264999889536,0.7888619999927469,1.0,30,conjunction
2986,82,1.421875,9.177264999889536,0.9233599999445723,1.0,30,conjunction
2987,82,1.421875,9.177264999889536,0.6218239998935605,1.0,30,conjunction
2988,83,0.8102288021534321,6.6826230000043285,0.4592220000058005,1.0,1,shape
2989,83,0.8102288021534321,6.6826230000043285,0.44120499999515594,1.0,1,shape
2990,83,0.8102288021534321,6.6826230000043285,0.4132100000009814,1.0,1,shape
2991,83,1.1870794078061908,2.954182999994664,0.5416229999953939,1.0,5,shape
2992,83,1.1870794078061908,2.954182999994664,0.44397999999744936,1.0,5,shape
2993,83,1.1870794078061908,2.954182999994664,0.44536699999382834,1.0,5,shape
2994,83,1.4508748317631222,4.829874000003503,0.43434400000347523,1.0,15,shape
2995,83,1.4508748317631222,4.829874000003503,0.5352229999965348,1.0,15,shape
2996,83,1.4508748317631222,4.829874000003503,0.49138800000140326,1.0,15,shape
2997,83,1.5531628532974424,2.953944000005635,0.4427820000071079,1.0,30,shape
2998,83,1.5531628532974424,2.953944000005635,0.5149620000069263,1.0,30,shape
2999,83,1.5531628532974424,2.953944000005635,0.4819119999990216,1.0,30,shape
3000,83,0.8317631224764463,2.178646000000503,0.42760099999565865,1.0,1,color
3001,83,0.8317631224764463,2.178646000000503,0.678952999997302,1.0,1,color
3002,83,0.8317631224764463,2.178646000000503,0.4362859999940556,1.0,1,color
3003,83,1.004037685060565,4.955758999996091,0.46899400000684544,1.0,5,color
3004,83,1.004037685060565,4.955758999996091,0.4348329999965499,1.0,5,color
3005,83,1.004037685060565,4.955758999996091,0.3945989999946323,1.0,5,color
3006,83,1.2086137281292055,3.2790829999978595,0.40833899999558343,1.0,15,color
3007,83,1.2086137281292055,3.2790829999978595,0.40560200000324403,1.0,15,color
3008,83,1.2086137281292055,3.2790829999978595,0.3882980000062089,1.0,15,color
3009,83,1.1170928667563929,4.0544550000068265,0.5030649999965681,1.0,30,color
3010,83,1.1170928667563929,4.0544550000068265,0.4811880000072415,1.0,30,color
3011,83,1.1170928667563929,4.0544550000068265,0.4900669999955862,1.0,30,color
